cuda:3
['-e', '100']
opts:  [('-e', '100')]
arg 100
Load Path:  /data/arango/thesis_workspace/data
Save Path:  /data/arango/thesis_workspace/model/
Model:  resnet18
Epochs:  100
resnet18
Default: Resnet18
Creating learn from model
epoch  train loss  valid loss  accuracy
0      0.286731    0.222408    0.909819
1      0.206783    0.166429    0.932764
2      0.171262    0.181445    0.934899
3      0.143885    0.178232    0.929562
4      0.126393    0.143131    0.947172
5      0.102660    0.149913    0.945037
6      0.095114    0.165532    0.943970
7      0.093168    0.160011    0.943437
8      0.081642    0.154862    0.947705
9      0.080895    0.139913    0.953575
10     0.061755    0.169222    0.948239
11     0.065560    0.145348    0.950907
12     0.057722    0.160528    0.953042
13     0.053591    0.184564    0.951974
14     0.049660    0.172042    0.951441
15     0.042482    0.184774    0.948239
16     0.062366    0.203298    0.943437
17     0.041025    0.194753    0.953042
18     0.038425    0.210353    0.947705
19     0.032025    0.210370    0.953575
20     0.039956    0.203278    0.947705
21     0.033120    0.216911    0.950374
22     0.040400    0.205245    0.948239
23     0.035616    0.254571    0.946105
24     0.035410    0.227011    0.947172
25     0.027722    0.213495    0.949306
26     0.026843    0.246000    0.947705
27     0.039807    0.237601    0.949840
28     0.027534    0.249856    0.955176
29     0.034913    0.213551    0.949840
30     0.023424    0.225504    0.949840
31     0.023243    0.262582    0.955176
32     0.020419    0.222676    0.952508
33     0.023899    0.272019    0.950374
34     0.021848    0.406334    0.939701
35     0.025591    0.269185    0.949840
36     0.021740    0.299736    0.949306
37     0.020671    0.328754    0.938634
38     0.027736    0.283397    0.951974
39     0.018390    0.281405    0.948239
40     0.016346    0.291726    0.954109
41     0.023419    0.272890    0.951441
42     0.022447    0.235953    0.950907
43     0.030579    0.227235    0.950907
44     0.015312    0.288226    0.951974
45     0.028912    0.280067    0.951974
46     0.020886    0.298472    0.947172
47     0.015686    0.323760    0.950907
48     0.023608    0.338724    0.949840
49     0.017770    0.281140    0.947705
50     0.021552    0.324935    0.945571
51     0.019282    0.288517    0.953575
52     0.016283    0.269347    0.951974
53     0.021350    0.286447    0.948773
54     0.021027    0.287458    0.950907
55     0.021390    0.309794    0.947705
56     0.018298    0.313060    0.951441
57     0.015330    0.267342    0.950374
58     0.019923    0.292452    0.953042
59     0.017173    0.309007    0.951974
60     0.021381    0.304872    0.949840
61     0.018083    0.307659    0.947705
62     0.027443    0.287951    0.945037
63     0.014642    0.257888    0.953575
64     0.013266    0.302478    0.953575
65     0.009828    0.305496    0.952508
66     0.019884    0.301927    0.954642
67     0.019809    0.306088    0.951441
68     0.020324    0.296039    0.950374
69     0.018054    0.276650    0.954642
70     0.013998    0.281228    0.949840
71     0.016126    0.301232    0.955176
72     0.010713    0.317721    0.955176
73     0.033061    0.414442    0.947172
74     0.014777    0.326931    0.953042
75     0.009802    0.311097    0.952508
76     0.015068    0.287625    0.953575
77     0.013363    0.310938    0.951441
78     0.012240    0.351046    0.945037
79     0.008948    0.336827    0.948773
80     0.011435    0.379404    0.944504
81     0.019065    0.318987    0.953575
82     0.011874    0.324904    0.948773
83     0.017086    0.274522    0.951441
84     0.014502    0.337216    0.955176
85     0.014785    0.307780    0.947172
86     0.010571    0.337733    0.951441
87     0.014293    0.312068    0.950907
88     0.016109    0.327799    0.951441
89     0.012619    0.282019    0.955176
90     0.009060    0.360990    0.944504
91     0.018022    0.288933    0.957311
92     0.019230    0.326426    0.947705
93     0.018954    0.299756    0.953575
94     0.012816    0.306502    0.953575
95     0.014612    0.356998    0.945037
96     0.010283    0.372501    0.947172
97     0.021973    0.465300    0.941836
98     0.013449    0.333241    0.948773
99     0.013370    0.324078    0.950374
/data/arango/thesis_workspace/model/resnet18.h5
