cuda:3
['-e', '100', '-m', 'resnet34', '-n', 'ff_fm_trills_100e', '-l', '/data/arango/thesis_workspace/data/layer2/']
opts:  [('-e', '100'), ('-m', 'resnet34'), ('-n', 'ff_fm_trills_100e'), ('-l', '/data/arango/thesis_workspace/data/layer2/')]
arg 100
Load Path:  /data/arango/thesis_workspace/data/layer2/
Save Path:  /data/arango/thesis_workspace/model/
Model:  resnet34
Epochs:  100
Model Name ff_fm_trills_100e
resnet34
Resnet34
Creating learn from model
epoch  train loss  valid loss  accuracy
0      0.741436    0.965429    0.598667
1      0.519882    0.556389    0.821333
2      0.404505    0.472785    0.837333
3      0.343620    0.485599    0.838667
4      0.273307    0.510307    0.832000
5      0.230793    0.560551    0.844000
6      0.208841    0.552174    0.837333
7      0.176496    0.587633    0.837333
8      0.155450    0.641196    0.820000
9      0.134965    0.613264    0.845333
10     0.119353    0.709177    0.837333
11     0.115431    0.716530    0.816000
12     0.113792    0.606722    0.857333
13     0.094638    0.717238    0.816000
14     0.088188    0.749046    0.834667
15     0.073260    0.787360    0.845333
16     0.062962    0.785051    0.832000
17     0.075775    0.814607    0.840000
18     0.077503    0.829251    0.824000
19     0.071219    0.764005    0.849333
20     0.065297    0.707653    0.842667
21     0.080951    0.791770    0.822667
22     0.076820    0.740643    0.854667
23     0.064587    0.800422    0.842667
24     0.060982    0.776185    0.842667
25     0.054060    0.863018    0.829333
26     0.053099    0.894805    0.845333
27     0.046930    0.820621    0.834667
28     0.046660    0.930459    0.856000
29     0.063357    0.906683    0.808000
30     0.057891    0.813149    0.841333
31     0.047618    0.725295    0.856000
32     0.049706    0.766846    0.856000
33     0.036590    0.833724    0.845333
34     0.039894    0.888273    0.832000
35     0.054532    0.917945    0.825333
36     0.048054    0.778819    0.842667
37     0.040719    0.771632    0.856000
38     0.039764    0.836127    0.865333
39     0.044490    0.833427    0.862667
40     0.050794    0.858263    0.829333
41     0.049558    0.865662    0.832000
42     0.045350    0.826922    0.844000
43     0.039257    0.820891    0.852000
44     0.045061    0.761651    0.844000
45     0.035621    0.883605    0.844000
46     0.035485    0.936363    0.814667
47     0.036435    0.901411    0.858667
48     0.035736    0.900207    0.829333
49     0.035924    0.851457    0.848000
50     0.030777    0.857819    0.848000
51     0.034290    0.862482    0.848000
52     0.027663    0.898604    0.838667
53     0.032688    0.826374    0.845333
54     0.031098    0.914733    0.862667
55     0.029638    0.982144    0.860000
56     0.035622    0.921025    0.857333
57     0.045714    0.893087    0.844000
58     0.046257    0.848275    0.860000
59     0.034584    0.891908    0.850667
60     0.030941    0.920670    0.842667
61     0.028831    0.886615    0.850667
62     0.022791    0.909398    0.868000
63     0.031833    0.918256    0.850667
64     0.034783    0.889906    0.850667
65     0.028860    0.972461    0.838667
66     0.026127    0.866098    0.876000
67     0.019798    0.871521    0.864000
68     0.018475    0.906163    0.856000
69     0.029031    1.014877    0.861333
70     0.033239    0.973353    0.856000
71     0.033007    0.918022    0.876000
72     0.027684    0.929855    0.853333
73     0.039928    0.891380    0.850667
74     0.035167    0.799448    0.874667
75     0.021603    0.923526    0.876000
76     0.015297    0.928700    0.872000
77     0.026849    1.001360    0.854667
78     0.028737    0.992644    0.854667
79     0.025498    0.943478    0.861333
80     0.022798    1.108635    0.858667
81     0.024751    1.178894    0.849333
82     0.024331    1.107081    0.850667
83     0.030625    1.078591    0.860000
84     0.022056    0.954909    0.856000
85     0.016967    1.018742    0.845333
86     0.021377    1.129664    0.858667
87     0.021688    1.077749    0.845333
88     0.025914    1.160489    0.840000
89     0.022824    1.014312    0.869333
90     0.027052    0.996578    0.854667
91     0.022399    1.140267    0.865333
92     0.031713    1.159794    0.873333
93     0.025610    1.055603    0.874667
94     0.020302    1.011833    0.861333
95     0.028901    0.935617    0.857333
96     0.021616    0.941094    0.868000
97     0.018750    0.923435    0.868000
98     0.017375    0.958255    0.869333
99     0.018358    0.887798    0.877333
/data/arango/thesis_workspace/model/ff_fm_trills_100e_resnet34.h5
