cuda:3
['-e', '50', '-m', 'resnet18', '-n', 'old_data_small_size_96', '-l', '/data/arango/thesis_workspace/archive_data/data_9_12_2018/']
opts:  [('-e', '50'), ('-m', 'resnet18'), ('-n', 'old_data_small_size_96'), ('-l', '/data/arango/thesis_workspace/archive_data/data_9_12_2018/')]
arg 50
Load Path:  /data/arango/thesis_workspace/archive_data/data_9_12_2018/
Save Path:  /data/arango/thesis_workspace/model/
Model:  resnet18
Epochs:  50
Model Name old_data_small_size_96
resnet18
Default: Resnet18
Creating learn from model
epoch  train loss  valid loss  accuracy
0      0.302312    0.222281    0.907684
1      0.210775    0.188711    0.925827
2      0.153611    0.166346    0.939701
3      0.147096    0.158111    0.940768
4      0.128450    0.152041    0.941836
5      0.114390    0.155561    0.943437
6      0.090054    0.174524    0.941302
7      0.086338    0.169155    0.942903
8      0.084372    0.164985    0.945037
9      0.078158    0.191530    0.944504
10     0.074556    0.178754    0.943970
11     0.063062    0.166338    0.950907
12     0.056175    0.218838    0.941836
13     0.051887    0.189402    0.949840
14     0.051115    0.211259    0.943437
15     0.045744    0.222731    0.950907
16     0.034342    0.214747    0.947172
17     0.046721    0.218639    0.952508
18     0.042969    0.284543    0.935966
19     0.041975    0.281121    0.947705
20     0.047227    0.221718    0.953042
21     0.033564    0.248522    0.949306
22     0.022797    0.285927    0.947172
23     0.027845    0.256065    0.950907
24     0.032398    0.235804    0.954109
25     0.029012    0.254459    0.950374
26     0.024315    0.265028    0.949306
27     0.035600    0.276288    0.946638
28     0.024514    0.257343    0.953575
29     0.019383    0.278913    0.954642
30     0.033544    0.268442    0.957311
31     0.019449    0.313079    0.951441
32     0.018732    0.301283    0.945571
33     0.026787    0.265598    0.950907
34     0.022596    0.271665    0.953042
35     0.022910    0.347810    0.946638
36     0.022020    0.282955    0.952508
37     0.017024    0.350903    0.947172
38     0.022892    0.294839    0.953042
39     0.020836    0.302815    0.954109
40     0.023268    0.301238    0.951441
41     0.015848    0.265931    0.949306
42     0.015583    0.303624    0.949306
43     0.041104    0.303578    0.941302
44     0.020072    0.257369    0.954642
45     0.014486    0.293512    0.950907
46     0.018676    0.282334    0.951974
47     0.013615    0.329181    0.952508
48     0.024647    0.280400    0.950374
49     0.023227    0.347704    0.952508
/data/arango/thesis_workspace/model/old_data_small_size_96_resnet18.h5
