cuda:3
['-e', '50', '-m', 'resnet34', '-n', 'new_data', '-l', '/data/arango/thesis_workspace/data/new_data']
opts:  [('-e', '50'), ('-m', 'resnet34'), ('-n', 'new_data'), ('-l', '/data/arango/thesis_workspace/data/new_data')]
arg 50
Load Path:  /data/arango/thesis_workspace/data/new_data
Save Path:  /data/arango/thesis_workspace/model/
Model:  resnet34
Epochs:  50
Model Name new_data
resnet34
Resnet34
Creating learn from model
epoch  train loss  valid loss  accuracy
0      0.277329    0.189007    0.929933
1      0.205479    0.154707    0.946935
2      0.170945    0.187068    0.924781
3      0.139615    0.160162    0.945904
4      0.124442    0.182064    0.944874
5      0.098891    0.157571    0.951056
6      0.094184    0.167771    0.948995
7      0.083662    0.188313    0.948480
8      0.082462    0.169612    0.943843
9      0.067890    0.181198    0.945389
10     0.068822    0.208552    0.945904
11     0.066974    0.186425    0.951056
12     0.051690    0.241219    0.936631
13     0.052352    0.251062    0.942298
14     0.053349    0.237827    0.931479
15     0.049301    0.227095    0.944359
16     0.037681    0.256881    0.950026
17     0.036680    0.273016    0.943328
18     0.040493    0.260552    0.945904
19     0.039726    0.257902    0.940752
20     0.024645    0.288591    0.947965
21     0.032804    0.276032    0.950026
22     0.036287    0.277965    0.953632
23     0.023353    0.300808    0.939722
24     0.033056    0.306293    0.940237
25     0.030193    0.289406    0.938691
26     0.028076    0.282280    0.948480
27     0.023100    0.297900    0.942813
28     0.030710    0.291931    0.941783
29     0.016999    0.351935    0.945904
30     0.025420    0.385461    0.949511
31     0.041059    0.312181    0.938691
32     0.025330    0.312624    0.937661
33     0.022091    0.307319    0.942813
34     0.032650    0.344835    0.941267
35     0.023958    0.305001    0.944874
36     0.020042    0.315539    0.943328
37     0.024703    0.309430    0.941783
38     0.021289    0.298561    0.943328
39     0.018280    0.301787    0.952087
40     0.016864    0.314182    0.941267
41     0.029204    0.284024    0.944874
42     0.019440    0.292067    0.945904
43     0.025392    0.343660    0.941783
44     0.013799    0.392895    0.938691
45     0.018362    0.334584    0.943328
46     0.023217    0.450256    0.921690
47     0.023927    0.333070    0.941267
48     0.015147    0.375934    0.945389
49     0.019666    0.346745    0.942298
/data/arango/thesis_workspace/model/new_data_resnet34.h5
