cuda:3
['-e', '50', '-m', 'resnet18', '-n', 'small_data500', '-l', '/data/arango/thesis_workspace/data/data_512/small/']
opts:  [('-e', '50'), ('-m', 'resnet18'), ('-n', 'small_data500'), ('-l', '/data/arango/thesis_workspace/data/data_512/small/')]
arg 50
Load Path:  /data/arango/thesis_workspace/data/data_512/small/
Save Path:  /data/arango/thesis_workspace/model/
Model:  resnet18
Epochs:  50
Model Name small_data500
resnet18
Default: Resnet18
Creating learn from model
epoch  train loss  valid loss  accuracy
0      1.345659    1.999855    0.362069
1      0.974223    1.589528    0.543103
2      0.781279    1.473582    0.379310
3      0.667520    1.268327    0.534483
4      0.558025    1.268122    0.560345
5      0.477329    1.271577    0.568965
6      0.411583    1.304964    0.603448
7      0.358405    1.405590    0.594828
8      0.310459    1.300758    0.629310
9      0.273974    1.051356    0.663793
10     0.237007    0.992115    0.689655
11     0.210116    0.970041    0.706897
12     0.184471    0.929757    0.715517
13     0.162520    0.892197    0.750000
14     0.143412    0.854063    0.775862
15     0.127070    0.810456    0.775862
16     0.115232    0.928164    0.750000
17     0.102851    0.996275    0.741379
18     0.092374    0.986388    0.775862
19     0.082376    1.033848    0.775862
20     0.074246    1.057468    0.750000
21     0.067405    1.208921    0.750000
22     0.061483    1.309083    0.732759
23     0.055766    1.080351    0.767241
24     0.051683    1.034770    0.793103
25     0.046898    1.175055    0.750000
26     0.042030    1.283452    0.724138
27     0.038925    1.161968    0.750000
28     0.035114    1.037468    0.767241
29     0.032137    1.013923    0.801724
30     0.029956    1.103892    0.801724
31     0.026880    1.250413    0.767241
32     0.025183    1.354469    0.750000
33     0.023574    1.360345    0.732759
34     0.021588    1.232974    0.758621
35     0.020456    1.194435    0.750000
36     0.019383    1.324134    0.732759
37     0.018369    1.298343    0.724138
38     0.017261    1.135680    0.750000
39     0.015735    1.113131    0.767241
40     0.014823    1.217943    0.767241
41     0.013930    1.182223    0.767241
42     0.013191    1.028980    0.775862
43     0.012635    1.045507    0.784483
44     0.011973    1.147948    0.767241
45     0.012072    1.266851    0.741379
46     0.011284    1.114204    0.784483
47     0.010517    1.181249    0.767241
48     0.009733    1.303059    0.732759
49     0.009770    1.293153    0.732759
/data/arango/thesis_workspace/model/small_data500_resnet18.h5
